Frame,X,Y,Width,Height
0,303,290,182,182
1,300,288,185,185
2,300,288,185,185
3,300,290,183,183
4,301,289,183,183
5,300,288,185,185
6,300,289,185,185
7,300,288,185,185
8,299,291,183,183
9,298,287,188,188
10,298,287,188,188
11,299,288,184,184
12,300,290,182,182
13,299,289,181,181
14,296,287,184,184
15,295,286,186,186
16,295,286,186,186
17,292,266,197,197
18,290,255,201,201
19,289,246,206,206
20,292,237,206,206
21,290,228,209,209
22,293,210,212,212
23,294,204,210,210
24,290,194,216,216
25,293,189,212,212
26,292,181,214,214
27,292,167,213,213
28,284,117,225,225
29,281,120,223,223
30,282,131,222,222
31,279,149,219,219
32,276,148,217,217
33,272,145,225,225
34,274,155,216,216
35,274,167,213,213
36,274,169,213,213
37,272,170,216,216
38,272,172,215,215
39,269,173,219,219
40,270,175,219,219
41,271,175,220,220
42,269,175,222,222
43,269,175,222,222
44,273,180,218,218
45,274,181,219,219
46,273,182,219,219
47,275,183,219,219
48,273,182,222,222
49,276,186,216,216
50,274,184,222,222
51,273,183,224,224
52,272,182,225,225
53,274,185,222,222
54,274,185,219,219
55,274,185,222,222
56,274,186,222,222
57,278,189,217,217
58,280,192,215,215
59,281,190,213,213
60,279,189,219,219
61,281,193,216,216
62,281,192,216,216
63,282,194,214,214
64,283,195,213,213
65,281,193,217,217
66,281,196,216,216
67,281,194,216,216
68,281,193,217,217
69,282,197,214,214
70,280,192,220,220
71,280,194,218,218
72,279,194,219,219
73,281,194,217,217
74,278,192,220,220
75,275,192,223,223
76,275,196,219,219
77,271,196,223,223
78,272,196,219,219
79,273,196,221,221
80,271,196,222,222
81,271,196,221,221
82,271,195,222,222
83,269,193,226,226
84,273,196,220,220
85,272,195,224,224
86,272,194,224,224
87,272,194,224,224
88,272,193,221,221
89,272,192,224,224
90,272,191,226,226
91,273,192,223,223
92,273,191,224,224
93,274,193,224,224
94,274,192,222,222
95,275,192,221,221
96,275,192,221,221
97,282,190,221,221
98,285,190,220,220
99,288,190,220,220
100,294,188,220,220
101,296,188,218,218
102,297,186,219,219
103,297,185,219,219
104,298,185,218,218
105,304,189,211,211
106,302,184,214,214
107,299,184,216,216
108,298,184,217,217
109,300,184,216,216
110,298,185,216,216
111,298,183,220,220
112,298,185,217,217
113,296,184,219,219
114,296,185,219,219
115,295,184,219,219
116,296,186,220,220
117,293,186,222,222
118,289,195,221,221
119,288,197,222,222
120,290,203,216,216
121,285,201,228,228
122,284,202,228,228
123,288,208,221,221
124,286,210,220,220
125,289,211,220,220
126,291,214,218,218
127,289,212,222,222
128,289,210,223,223
129,292,211,220,220
130,293,212,219,219
131,291,210,217,217
132,286,206,224,224
133,281,203,229,229
134,279,203,226,226
135,273,199,233,233
136,271,199,230,230
137,261,189,236,236
138,261,190,237,237
139,262,191,234,234
140,262,187,237,237
141,262,187,237,237
142,263,188,235,235
143,264,187,235,235
144,267,188,234,234
145,269,189,234,234
146,270,186,238,238
147,293,188,227,227
148,299,190,224,224
149,299,190,224,224
150,303,191,223,223
151,320,199,212,212
152,317,194,221,221
153,324,197,216,216
154,327,196,215,215
155,333,200,206,206
156,338,203,201,201
157,336,202,201,201
158,324,195,219,219
159,328,202,209,209
160,316,213,215,215
161,317,230,206,206
162,312,237,211,211
163,311,243,204,204
164,294,221,217,217
165,291,230,214,214
166,295,241,208,208
167,290,243,210,210
168,303,234,205,205
169,280,223,228,228
171,287,232,226,226
172,283,230,214,214
173,283,228,216,216
174,281,229,221,221
175,282,228,218,218
176,285,230,213,213
177,282,230,219,219
178,282,228,220,220
179,282,228,218,218
180,282,232,218,218
181,285,234,216,216
182,284,231,218,218
183,282,232,218,218
184,284,235,215,215
185,280,229,221,221
186,283,230,218,218
187,282,230,220,220
188,283,231,219,219
189,284,235,215,215
190,282,231,220,220
191,284,233,214,214
192,282,232,216,216
193,285,234,215,215
194,286,233,212,212
195,282,233,218,218
196,285,233,213,213
197,282,234,215,215
198,283,232,217,217
199,285,233,214,214
200,283,233,214,214
201,284,232,216,216
202,284,234,214,214
203,284,234,214,214
204,283,233,215,215
205,283,233,215,215
206,283,233,214,214
207,282,231,216,216
208,283,232,214,214
209,281,231,218,218
210,284,235,212,212
